par,timeframe,variante,contexto,n_treino,taxa_treino,p_bin_treino,exp_r_treino,p_r_treino,n_teste,taxa_teste,p_bin_teste,exp_r_teste,p_r_teste,breakeven,candidata_binaria,candidata_tradicional,aprovada_binaria,aprovada_tradicional
AUDUSD,H1,engolfo@reversao,todos,596,0.4815436241610738,0.9958816297602643,-0.0587248322147651,0.8480552459607,464,0.4849137931034483,0.9859735025948647,0.05161290322580645,0.2188666172128135,0.53475935828877,False,False,False,False
AUDUSD,H1,engolfo@reversao,a_favor,284,0.5070422535211268,0.8403636958127755,-0.028169014084507043,0.6320176674788467,239,0.45188284518828453,0.9957317269762292,-0.05,0.7099169331646588,0.53475935828877,False,False,False,False
AUDUSD,H1,engolfo@reversao,contra,312,0.4583333333333333,0.9971045074422831,-0.08653846153846154,0.8650860170085879,225,0.52,0.6955658430453509,0.16,0.05129781870660279,0.53475935828877,False,False,False,False
AUDUSD,H1,engolfo@rompimento,todos,619,0.42649434571890144,0.9999999725776968,-0.24154589371980675,0.9999975848317277,461,0.5075921908893709,0.8879531167616351,0.04319654427645788,0.2580559532050967,0.53475935828877,False,False,False,False
AUDUSD,H1,engolfo@rompimento,a_favor,306,0.39869281045751637,0.9999993140941674,-0.30392156862745096,0.9999818135789263,215,0.4790697674418605,0.9557823085657073,0.0,0.5,0.53475935828877,False,False,False,False
AUDUSD,H1,engolfo@rompimento,contra,313,0.4536741214057508,0.9982979466043226,-0.18095238095238095,0.9914913317909019,246,0.532520325203252,0.5539827081635605,0.08097165991902834,0.18938238199861215,0.53475935828877,False,False,False,False
AUDUSD,H1,engolfo@livre,todos,2146,0.4934762348555452,0.9999411646621079,-0.06781235485369252,0.9882188893469492,1439,0.4683808200138985,0.999999797729047,-0.092971663373233,0.994780231889965,0.53475935828877,False,False,False,False
AUDUSD,H1,engolfo@livre,a_favor,1067,0.5079662605435802,0.9627944829533154,0.0028011204481792717,0.4741946004674383,709,0.44569816643159377,0.9999991461561681,-0.13256129663987123,0.9952307064857785,0.53475935828877,False,False,False,False
AUDUSD,H1,engolfo@livre,contra,1077,0.479108635097493,0.9998864290379785,-0.1361111111111111,0.9994851682669029,730,0.4904109589041096,0.9925849327548604,-0.054570259208731244,0.8551033918852129,0.53475935828877,False,False,False,False
AUDUSD,H1,pin_bar@reversao,todos,330,0.4818181818181818,0.9762055598324215,-0.1,0.9060187801168413,267,0.46441947565543074,0.9909243684886574,-0.11235955056179775,0.9090266853124042,0.53475935828877,False,False,False,False
AUDUSD,H1,pin_bar@reversao,a_favor,167,0.46706586826347307,0.966324450421894,-0.04790419161676647,0.6704714823516766,135,0.43703703703703706,0.9908667060389761,-0.044444444444444446,0.643306604055319,0.53475935828877,False,False,False,False
