par,timeframe,variante,contexto,n_treino,taxa_treino,p_bin_treino,exp_r_treino,p_r_treino,n_teste,taxa_teste,p_bin_teste,exp_r_teste,p_r_teste,breakeven,candidata_binaria,candidata_tradicional,aprovada_binaria,aprovada_tradicional
AUDUSD,D1,rompimento@livre,todos,162,0.5370370370370371,0.5089577706435088,0.18518518518518517,0.05553856072519446,158,0.44936708860759494,0.9870936357582414,-0.012658227848101266,0.5447199329054773,0.53475935828877,False,False,False,False
AUDUSD,H4,engolfo@reversao,todos,160,0.4875,0.8991969827136325,-0.11875,0.8625946512038298,176,0.5,0.8413617438128737,-0.19886363636363635,0.9754823356090434,0.53475935828877,False,False,False,False
AUDUSD,H4,engolfo@rompimento,todos,166,0.45180722891566266,0.986716262030043,-0.18674698795180722,0.9630611781121914,203,0.541871921182266,0.4478273862862502,0.06403940886699508,0.2633483563548649,0.53475935828877,False,False,False,False
AUDUSD,H4,engolfo@livre,todos,693,0.5180375180375181,0.8214053650989286,0.05627705627705628,0.15093901038889349,820,0.5134146341463415,0.8961672040162371,-0.07411907654921021,0.9372259217754862,0.53475935828877,False,False,False,False
AUDUSD,H4,engolfo@livre,a_favor,358,0.5,0.9147703341260462,0.00558659217877095,0.4703129812627191,439,0.49658314350797267,0.9505403821788293,-0.05011389521640091,0.7736438640626688,0.53475935828877,False,False,False,False
AUDUSD,H4,engolfo@livre,contra,335,0.5373134328358209,0.4849737327533657,0.11044776119402985,0.08220019444162324,381,0.5328083989501312,0.5512607404836287,-0.1015625,0.9255722043583267,0.53475935828877,False,False,False,False
AUDUSD,H4,pin_bar@livre,todos,363,0.4820936639118457,0.98039095073926,-0.024793388429752067,0.6313542542746405,356,0.49157303370786515,0.9540269101889655,-0.1092436974789916,0.9332351300980981,0.53475935828877,False,False,False,False
AUDUSD,H4,pin_bar@livre,a_favor,163,0.44171779141104295,0.9929986949683728,-0.04294478527607362,0.6518094372504362,201,0.47761194029850745,0.9548006184529702,-0.09405940594059406,0.8329408815256245,0.53475935828877,False,False,False,False
AUDUSD,H4,pin_bar@livre,contra,200,0.515,0.7362897873872216,-0.01,0.5397784983615861,155,0.5096774193548387,0.7603140719976844,-0.12903225806451613,0.8792731655121586,0.53475935828877,False,False,False,False
AUDUSD,H4,marubozu@livre,todos,218,0.5458715596330275,0.3976329385817729,0.22477064220183487,0.012871707308600495,243,0.43209876543209874,0.9994606491378532,-0.16049382716049382,0.9675121774580718,0.53475935828877,False,False,False,False
AUDUSD,H4,harami@livre,todos,404,0.5297029702970297,0.6005083094204362,0.044444444444444446,0.2661381718733586,483,0.474120082815735,0.9966732216477288,-0.055900621118012424,0.8105965024424885,0.53475935828877,False,False,False,False
AUDUSD,H4,harami@livre,a_favor,195,0.49230769230769234,0.896095586827892,-0.015384615384615385,0.5603732835029184,225,0.4533333333333333,0.9940018900815574,-0.17333333333333334,0.9729019056168652,0.53475935828877,False,False,False,False
AUDUSD,H4,harami@livre,contra,209,0.5645933014354066,0.21340845450844653,0.1,0.15923343827429987,258,0.49224806201550386,0.9236929196145279,0.046511627906976744,0.3012353337194097,0.53475935828877,False,False,False,False
AUDUSD,H4,estrela@livre,todos,207,0.5120772946859904,0.7656402567206788,0.18840579710144928,0.03338613958040324,161,0.5093167701863354,0.7663620707669114,-0.10559006211180125,0.8340528160468957,0.53475935828877,False,False,False,False
AUDUSD,H4,pinca@livre,todos,327,0.5565749235474006,0.23123394965577773,0.06422018348623854,0.209879856452542,371,0.5040431266846361,0.8920853023112496,0.08355795148247978,0.13271022188488069,0.53475935828877,False,False,False,False
AUDUSD,H4,pinca@livre,a_favor,152,0.5197368421052632,0.6750601900555689,-0.03289473684210526,0.6132376648424596,183,0.4808743169398907,0.9375032509439911,0.08196721311475409,0.22185672563180336,0.53475935828877,False,False,False,False
AUDUSD,H4,pinca@livre,contra,175,0.5885714285714285,0.0879618088904837,0.14857142857142858,0.0903599997906739,188,0.526595744680851,0.6175095659378513,0.0851063829787234,0.21023856203350427,0.53475935828877,False,False,False,False
AUDUSD,H4,doji_alta@livre,todos,431,0.4872389791183295,0.9785106986920734,-0.14385150812064965,0.9858949115593053,431,0.494199535962877,0.958619396347915,-0.11805555555555555,0.9631813549727521,0.53475935828877,False,False,False,False
AUDUSD,H4,doji_alta@livre,a_favor,218,0.48623853211009177,0.9335696006261524,-0.18807339449541285,0.9805844278136346,226,0.48672566371681414,0.9348756257757649,-0.14096916299559473,0.9402359250520156,0.53475935828877,False,False,False,False
AUDUSD,H4,doji_alta@livre,contra,213,0.48826291079812206,0.9233672906485106,-0.09859154929577464,0.851097543697203,205,0.5024390243902439,0.840806696422138,-0.09268292682926829,0.8310774951832861,0.53475935828877,False,False,False,False
AUDUSD,H4,doji_baixa@livre,todos,431,0.5127610208816705,0.8324677125886513,0.04408352668213457,0.2613582578242981,431,0.505800464037123,0.8949167643569241,0.041666666666666664,0.2725339270594633,0.53475935828877,False,False,False,False
AUDUSD,H4,doji_baixa@livre,a_favor,213,0.5117370892018779,0.7712285615550494,0.056338028169014086,0.28380286569024615,205,0.4975609756097561,0.8723264045890174,-0.004878048780487805,0.5196462644966904,0.53475935828877,False,False,False,False
AUDUSD,H4,doji_baixa@livre,contra,218,0.5137614678899083,0.7549487717643499,0.03211009174311927,0.37014234163954496,226,0.5132743362831859,0.7626516598109486,0.08370044052863436,0.19175034564550264,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_alta@reversao,todos,283,0.5335689045936396,0.5402557629561064,0.0706713780918728,0.20482825822771394,278,0.5431654676258992,0.4131369832591352,0.12903225806451613,0.06996977399499141,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_alta@reversao,a_favor,156,0.5192307692307693,0.6809513725041869,0.11538461538461539,0.16166146228923037,134,0.5149253731343284,0.7081784223498928,0.06666666666666667,0.2959431336687867,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_alta@rompimento,todos,254,0.4921259842519685,0.9227921319240943,-0.04330708661417323,0.6886674755075313,284,0.5492957746478874,0.33344462529060365,0.06690140845070422,0.21694134290261607,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_alta@livre,todos,1255,0.5139442231075697,0.9339616095821953,0.012738853503184714,0.3752275786931507,1193,0.5305951383067896,0.6247453343727525,-0.05434782608695652,0.9110298695039247,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_alta@livre,a_favor,595,0.5159663865546219,0.8315236636819349,-0.003355704697986577,0.5230875278962812,595,0.5546218487394958,0.17615823363262226,0.010050251256281407,0.43132981940866755,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_alta@livre,contra,660,0.5121212121212121,0.885834899496149,0.02727272727272727,0.31150971344988754,598,0.5066889632107023,0.9216759450071929,-0.11853088480801335,0.9828379021208535,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_baixa@reversao,todos,254,0.5078740157480315,0.8217658023158257,0.03937007874015748,0.330635434814419,284,0.4507042253521127,0.998107237923523,-0.323943661971831,0.9999903935788302,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_baixa@rompimento,todos,283,0.4664310954063604,0.990885905589123,-0.1413427561837456,0.9594343093236442,278,0.4568345323741007,0.9961084913922325,-0.10752688172043011,0.9038943008198888,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_baixa@rompimento,contra,156,0.4807692307692308,0.9237928711984729,-0.09615384615384616,0.807097707828043,134,0.48507462686567165,0.892329248133054,-0.1111111111111111,0.8252705341453935,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_baixa@livre,todos,1255,0.4860557768924303,0.999751798613178,-0.11863057324840764,0.9989264424005366,1193,0.4694048616932104,0.9999972877555572,0.01588628762541806,0.3494819310176547,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_baixa@livre,a_favor,660,0.48787878787878786,0.9928701629384615,-0.1,0.9688475894763956,598,0.49331103678929766,0.9808156503534757,-0.008347245409015025,0.5574788843991794,0.53475935828877,False,False,False,False
AUDUSD,H4,inside_bar_baixa@livre,contra,595,0.48403361344537815,0.994108292432006,-0.13926174496644295,0.993715528604197,595,0.44537815126050423,0.999994735179976,0.04020100502512563,0.24605596760521428,0.53475935828877,False,False,False,False
AUDUSD,H4,rompimento@reversao,todos,259,0.5212355212355212,0.6913215607657388,0.019305019305019305,0.4137102814813661,242,0.5082644628099173,0.8135387728786873,-0.06172839506172839,0.7547037788913625,0.53475935828877,False,False,False,False
AUDUSD,H4,rompimento@reversao,a_favor,187,0.5294117647058824,0.5876250453606449,0.09090909090909091,0.19568879238919426,170,0.5294117647058824,0.5863902102420084,-0.06470588235294118,0.7271102952128148,0.53475935828877,False,False,False,False
AUDUSD,H4,rompimento@rompimento,todos,269,0.4423791821561338,0.9990154389217419,-0.1412639405204461,0.9553634818150695,228,0.4473684210526316,0.9966202776462477,-0.10526315789473684,0.8754598005911498,0.53475935828877,False,False,False,False
AUDUSD,H4,rompimento@rompimento,a_favor,197,0.4619289340101523,0.9829201634394741,-0.04060913705583756,0.6575266328582039,155,0.44516129032258067,0.9896715500917331,-0.12903225806451613,0.8792731655121586,0.53475935828877,False,False,False,False
AUDUSD,H4,rompimento@livre,todos,992,0.4889112903225806,0.9982676604239595,-0.08761329305135952,0.9770841706830741,1057,0.49290444654683063,0.9970716001376355,-0.043285868388726285,0.8432688542602957,0.53475935828877,False,False,False,False
AUDUSD,H4,rompimento@livre,a_favor,737,0.48575305291723203,0.9965407237255581,-0.12195121951219512,0.9922357627251625,797,0.4968632371392723,0.9853035429380238,-0.027407882950548235,0.7094742173767319,0.53475935828877,False,False,False,False
AUDUSD,H4,rompimento@livre,contra,255,0.4980392156862745,0.892106639537552,0.011764705882352941,0.4474662444912554,260,0.4807692307692308,0.9645075732527283,-0.09195402298850575,0.8584907376289119,0.53475935828877,False,False,False,False
AUDUSD,H4,cruzamento_emas@livre,todos,411,0.49878345498783455,0.9345545969090285,-0.04611650485436893,0.748132364376874,391,0.4884910485933504,0.9701470795207743,-0.1548223350253807,0.9882572167655878,0.53475935828877,False,False,False,False
AUDUSD,H4,cruzamento_emas@livre,contra,273,0.5054945054945055,0.8484997736440787,-0.06593406593406594,0.7827853691146512,251,0.5059760956175299,0.8358547476287996,-0.11067193675889328,0.8995456196637355,0.53475935828877,False,False,False,False
AUDUSD,H4,rsi_extremo@livre,todos,253,0.4901185770750988,0.9312819876570579,-0.19367588932806323,0.989199861737088,241,0.43983402489626555,0.9987165254138647,-0.14107883817427386,0.9458253344565045,0.53475935828877,False,False,False,False
AUDUSD,H4,rsi_extremo@livre,contra,248,0.4959677419354839,0.901077504121666,-0.1774193548387097,0.9808820065820147,233,0.43776824034334766,0.9987784125908317,-0.15021459227467812,0.9540652918446518,0.53475935828877,False,False,False,False
AUDUSD,H4,divergencia_rsi@livre,todos,178,0.550561797752809,0.36472067193445745,-0.0111731843575419,0.5420329146435552,168,0.49404761904761907,0.8717947024595949,-0.19642857142857142,0.9711216565509823,0.53475935828877,False,False,False,False
AUDUSD,H4,divergencia_rsi@livre,contra,153,0.5555555555555556,0.33252491859335276,0.032467532467532464,0.38925004348370146,145,0.496551724137931,0.8427027153986855,-0.23448275862068965,0.9834446506262863,0.53475935828877,False,False,False,False
AUDUSD,H4,engolfo+rompimento,todos,185,0.5081081081081081,0.7884158975898643,-0.14054054054054055,0.91922308099492,254,0.5118110236220472,0.7871537181658385,-0.047058823529411764,0.7041249424196621,0.53475935828877,False,False,False,False
AUDUSD,H4,rompimento+cruzamento_emas,todos,243,0.49382716049382713,0.9103180162225698,-0.16049382716049382,0.9675121774580718,288,0.4895833333333333,0.9446119682733387,0.02768166089965398,0.37083236821794613,0.53475935828877,False,False,False,False
AUDUSD,H4,rompimento+cruzamento_emas,contra,166,0.46987951807228917,0.9600946162682197,-0.22289156626506024,0.984602047536723,207,0.46859903381642515,0.9759043213367745,-0.04807692307692308,0.6895750527223661,0.53475935828877,False,False,False,False
EURUSD,H4,engolfo@reversao,todos,180,0.4444444444444444,0.9938076516152172,0.0,0.5,175,0.4514285714285714,0.9887858407856998,-0.07428571428571429,0.7597881573468065,0.53475935828877,False,False,False,False
EURUSD,H4,engolfo@rompimento,todos,217,0.511520737327189,0.7748511284748538,-0.10138248847926268,0.860279912378799,158,0.5189873417721519,0.683834319342624,0.11320754716981132,0.16383260970723756,0.53475935828877,False,False,False,False
