par,timeframe,variante,contexto,n_treino,taxa_treino,p_bin_treino,exp_r_treino,p_r_treino,n_teste,taxa_teste,p_bin_teste,exp_r_teste,p_r_teste,breakeven,candidata_binaria,candidata_tradicional,aprovada_binaria,aprovada_tradicional
EURUSD,H1,engolfo@reversao,todos,332,0.5120481927710844,0.8118912918987573,0.06626506024096386,0.20087199899582395,378,0.48148148148148145,0.9832363872522933,-0.013157894736842105,0.572056841415108,0.53475935828877,False,False,False,False
EURUSD,H1,engolfo@reversao,a_favor,169,0.5325443786982249,0.5542995118584586,0.10059171597633136,0.184235696835558,174,0.4425287356321839,0.9940000832924056,-0.04,0.6466972126671939,0.53475935828877,False,False,False,False
EURUSD,H1,engolfo@reversao,contra,163,0.49079754601226994,0.8855573500448191,0.03067484662576687,0.39219994826566723,204,0.5147058823529411,0.7406057141341493,0.00975609756097561,0.4608974248836453,0.53475935828877,False,False,False,False
EURUSD,H1,engolfo@rompimento,todos,315,0.45714285714285713,0.9975563993243114,-0.009523809523809525,0.547570004879233,379,0.49604221635883905,0.9407867112588735,0.017822916408291825,0.40356219103820556,0.53475935828877,False,False,False,False
EURUSD,H1,engolfo@rompimento,a_favor,153,0.39869281045751637,0.9997252806272422,-0.0392156862745098,0.6348687935081059,175,0.4685714285714286,0.9663089547898633,-0.04711494103575656,0.6720727958724242,0.53475935828877,False,False,False,False
EURUSD,H1,engolfo@rompimento,contra,162,0.5123456790123457,0.7426582836543918,0.018518518518518517,0.4344176999733961,204,0.5196078431372549,0.6932587835208278,0.07352941176470588,0.2335779677234343,0.53475935828877,False,False,False,False
EURUSD,H1,engolfo@livre,todos,1281,0.4808743169398907,0.9999496668006495,-0.06656346749226007,0.9573451687178364,1440,0.4930555555555556,0.9993014685993666,-0.02702702702702703,0.7674911129833075,0.53475935828877,False,False,False,False
EURUSD,H1,engolfo@livre,a_favor,636,0.49528301886792453,0.9790059568847878,-0.0390625,0.7595969441903072,710,0.4830985915492958,0.9973944624172676,0.0028089887640449437,0.47890302183048605,0.53475935828877,False,False,False,False
EURUSD,H1,engolfo@livre,contra,645,0.4666666666666667,0.9997685383005918,-0.09355828220858896,0.9582018008653416,730,0.5027397260273972,0.9616482671096026,-0.0560875512995896,0.8614744752052794,0.53475935828877,False,False,False,False
EURUSD,H1,pin_bar@rompimento,todos,155,0.49032258064516127,0.8828119315238724,-0.14838709677419354,0.9123087921918869,163,0.4539877300613497,0.9839581153529967,0.10909090909090909,0.16805810878189542,0.53475935828877,False,False,False,False
EURUSD,H1,pin_bar@livre,todos,634,0.5,0.9635114600022213,0.01567398119122257,0.3903003812279273,661,0.4977307110438729,0.9741596010562883,-0.07692307692307693,0.923320774201389,0.53475935828877,False,False,False,False
EURUSD,H1,pin_bar@livre,a_favor,316,0.5221518987341772,0.6937760903735721,0.10725552050473186,0.09439262472480361,335,0.5104477611940299,0.8281770738586385,-0.08035714285714286,0.8558010486055199,0.53475935828877,False,False,False,False
EURUSD,H1,pin_bar@livre,contra,315,0.4793650793650794,0.9785743478271732,-0.08490566037735849,0.8627025285619971,326,0.48466257668711654,0.9690449953655093,-0.07339449541284404,0.8301241220655308,0.53475935828877,False,False,False,False
EURUSD,H1,marubozu@livre,todos,443,0.46275395033860045,0.9989705777995435,-0.1101123595505618,0.9544401830836627,444,0.47072072072072074,0.9970114345732439,-0.11685393258426967,0.9637960561836316,0.53475935828877,False,False,False,False
EURUSD,H1,marubozu@livre,a_favor,223,0.4618834080717489,0.9876496798332931,-0.07174887892376682,0.7792029955808721,237,0.4641350210970464,0.9875188608406746,-0.004201680672268907,0.518240653667172,0.53475935828877,False,False,False,False
EURUSD,H1,marubozu@livre,contra,219,0.4611872146118721,0.9877011863485816,-0.1583710407239819,0.9586227875001297,207,0.4782608695652174,0.9552092531584518,-0.2463768115942029,0.9964341010373495,0.53475935828877,False,False,False,False
EURUSD,H1,harami@reversao,todos,191,0.5445026178010471,0.422412332242053,0.08376963350785341,0.21199228760552144,232,0.4827586206896552,0.9507478680583682,0.017921841325391947,0.4239010373564331,0.53475935828877,False,False,False,False
EURUSD,H1,harami@rompimento,todos,194,0.5,0.8514097916182994,-0.010309278350515464,0.5403853318804969,192,0.5052083333333334,0.8142146202257377,-0.0051813471502590676,0.5202442234729081,0.53475935828877,False,False,False,False
EURUSD,H1,harami@livre,todos,733,0.451568894952251,0.9999972642934737,-0.03804347826086957,0.7692036483252472,798,0.5050125313283208,0.9571870351580494,-0.05006257822277847,0.8444133537275256,0.53475935828877,False,False,False,False
EURUSD,H1,harami@livre,a_favor,315,0.4888888888888889,0.954205963844163,0.05714285714285714,0.24018677648365439,375,0.528,0.6236980721387639,-0.016,0.586884303511686,0.53475935828877,False,False,False,False
EURUSD,H1,harami@livre,contra,417,0.4244604316546763,0.9999974461273983,-0.10714285714285714,0.9447061876602397,423,0.4846335697399527,0.9827057113225112,-0.08018867924528301,0.8830923344971701,0.53475935828877,False,False,False,False
EURUSD,H1,estrela@livre,todos,258,0.46511627906976744,0.9893347817413789,-0.022988505747126436,0.6038761658162228,285,0.5157894736842106,0.7586682675957181,-0.031578947368421054,0.6476662235115469,0.53475935828877,False,False,False,False
EURUSD,H1,tres_velas@livre,todos,193,0.5077720207253886,0.7950984531247002,-0.03626943005181347,0.6399130863248503,241,0.44398340248962653,0.9980504273719303,-0.16597510373443983,0.9715358601246633,0.53475935828877,False,False,False,False
EURUSD,H1,pinca@livre,todos,625,0.4816,0.9965427367395234,-0.05388272583201268,0.8338394609211217,676,0.5369822485207101,0.46954344714887836,0.004424778761061947,0.4676060669227668,0.53475935828877,False,False,False,False
EURUSD,H1,pinca@livre,a_favor,313,0.5015974440894568,0.8910975138213046,0.02531645569620253,0.37619045561542336,326,0.5337423312883436,0.5372816890331901,0.02147239263803681,0.3927845179382272,0.53475935828877,False,False,False,False
EURUSD,H1,pinca@livre,contra,312,0.46153846153846156,0.9959281911692236,-0.13333333333333333,0.9583685260445771,350,0.54,0.44364705478382777,-0.011363636363636364,0.5599592273086595,0.53475935828877,False,False,False,False
EURUSD,H1,doji_alta@reversao,todos,162,0.5740740740740741,0.17771192972841926,0.19631901840490798,0.045426326252595815,207,0.5169082125603864,0.720892661233637,0.11961722488038277,0.11790537355234043,0.53475935828877,False,False,False,False
EURUSD,H1,doji_alta@rompimento,todos,185,0.4756756756756757,0.9538229853980238,-0.15675675675675677,0.9417126549635483,228,0.4956140350877193,0.8944979645402008,0.06578947368421052,0.24533347460063526,0.53475935828877,False,False,False,False
EURUSD,H1,doji_alta@livre,todos,774,0.4819121447028424,0.9985569976882871,-0.038461538461538464,0.7782724414010138,831,0.4981949458483754,0.9840575048712767,-0.030198976513623476,0.7326587659143099,0.53475935828877,False,False,False,False
EURUSD,H1,doji_alta@livre,a_favor,351,0.4985754985754986,0.9209817925503979,0.053824362606232294,0.24059485251824275,399,0.48872180451127817,0.9707455711317488,-0.0325,0.678171776242295,0.53475935828877,False,False,False,False
EURUSD,H1,doji_alta@livre,contra,420,0.46904761904761905,0.996974293298315,-0.10849056603773585,0.9478091870017176,432,0.5069444444444444,0.8862599713324584,-0.028073319713275646,0.6612082644562551,0.53475935828877,False,False,False,False
EURUSD,H1,doji_baixa@reversao,todos,185,0.5243243243243243,0.6404276834295795,-0.010810810810810811,0.5413500138448808,228,0.5043859649122807,0.8379098748907576,-0.02631578947368421,0.6110036538581491,0.53475935828877,False,False,False,False
EURUSD,H1,doji_baixa@rompimento,todos,162,0.42592592592592593,0.9978372193928647,-0.1165644171779141,0.8602279776126976,207,0.4830917874396135,0.9404549632602969,0.004784688995215311,0.480588041793766,0.53475935828877,False,False,False,False
