par,timeframe,padrao,direcao,sessao,contexto,ocorrencias,taxa_acerto,ic_inf,ic_sup,breakeven,p_binaria,expectativa_r,r_ic_inf,r_ic_sup,p_tradicional,aprovado_binaria,aprovado_tradicional,margem_breakeven,borda_binaria,borda_tradicional
EURUSD,M5,divergencia_rsi,baixa,ny,contra,735,0.5238095238095238,0.4876733300358891,0.5596981318415555,0.53475935828877,0.7365045490031267,0.13456148904320375,0.031593122797636326,0.23911912979387395,0.005842427654771027,False,False,-0.010949834479246134,False,False
EURUSD,M5,piercing_nuvem,alta,londres,a_favor,228,0.5482456140350878,0.4833805829431775,0.6115118496351336,0.53475935828877,0.3667765406748639,0.09913793103448276,-0.08189655172413793,0.2801724137931034,0.14915241179982086,False,False,0.013486255746317788,False,False
EURUSD,M5,harami,baixa,ny,contra,1341,0.5093214019388516,0.4825765705944137,0.5360129812341882,0.53475935828877,0.9708620463752421,0.0841154769476809,0.004132562787415795,0.1614361723808568,0.015742543580871522,False,False,-0.02543795634991841,False,False
EURUSD,M5,doji,baixa,ny,contra,2774,0.517664023071377,0.49905754842543915,0.5362216427929123,0.53475935828877,0.9658697750346633,0.07541939040820783,0.023701024188372017,0.128693581276869,0.0026808163481631415,False,False,-0.017095335217392926,False,False
EURUSD,M5,divergencia_rsi,alta,pos_ny,contra,262,0.5076335877862596,0.44742571943456033,0.5676208425943441,0.53475935828877,0.8269874857025001,0.07142857142857142,-0.09774436090225563,0.24060150375939848,0.20964883480832305,False,False,-0.027125770502510416,False,False
EURUSD,M5,estrela,alta,londres_ny,contra,689,0.5457184325108854,0.5083893476183707,0.5825405457907711,0.53475935828877,0.2953383021261047,0.06514799612952334,-0.042921168135606355,0.17584706648951387,0.11602419073170415,False,False,0.010959074222115395,False,False
EURUSD,M5,rsi_extremo,alta,pos_ny,contra,338,0.5295857988165681,0.4763415100732791,0.5821651440610593,0.53475935828877,0.5972933421261641,0.06140350877192982,-0.09649122807017543,0.20175438596491227,0.21490081977665634,False,False,-0.005173559472201883,False,False
EURUSD,M5,piercing_nuvem,baixa,londres,contra,258,0.5116279069767442,0.450911637515266,0.572002991921277,0.53475935828877,0.7903733572066687,0.060836501901140684,-0.09885931558935361,0.23193916349809887,0.24648114900625334,False,False,-0.023131451312025764,False,False
EURUSD,M5,harami,alta,pos_ny,contra,643,0.5629860031104199,0.5243852751948972,0.600838609105403,0.53475935828877,0.08128258988946867,0.05343511450381679,-0.05648854961832061,0.16793893129770993,0.17014644228960588,False,False,0.028226644821649938,False,False
EURUSD,M5,inside_bar,baixa,ny,contra,5947,0.5126954767109467,0.4999877131449172,0.5253868496030417,0.53475935828877,0.9996886542654442,0.049467466676498005,0.013617374094485015,0.08424357950898144,0.0035384802756485874,False,False,-0.02206388157782324,False,False
